datetime,open,high,low,close,volume
2020-11-25,28.67848162381154,29.634431011271925,25.33265876770019,25.332658767700195,1200
2020-11-27,25.18926922744633,25.18926922744633,21.317672729492188,21.317672729492188,5200
2020-11-30,22.26215185648445,22.464813046542584,18.34467124938965,18.34467124938965,65100
2020-12-01,20.744104162538413,21.136043298129003,16.002593858245813,17.599029541015625,8782600
2020-12-02,17.331362611297813,17.78066001674866,16.499687616377454,17.446077346801758,2105400
2020-12-03,17.57990891665686,18.29687096804846,17.235768371852462,17.92405128479004,1555600
2020-12-04,17.924052790591592,18.468943703692947,17.838017191330437,18.163040161132812,1390600
2020-12-07,18.153480129787567,18.363788355784585,16.968103011449177,17.207090377807617,1481500
2020-12-08,16.96810440868759,17.235770937448446,15.849643369097276,16.471010208129883,3246400
2020-12-09,16.681319772811204,16.920307151657617,16.20334501511838,16.52836799621582,1793400
2020-12-10,16.3467378081801,16.920307907706068,16.337178093799608,16.84383201599121,728800
2020-12-11,16.70043525889168,17.006340596606496,16.557043214439318,16.939422607421875,844500
2020-12-14,17.28356450927793,17.742419768551898,17.1592918936395,17.187969207763672,1038500
2020-12-15,17.216648263989722,17.465195317422673,16.671757418256547,17.197528839111328,964100
2020-12-16,17.207090131899026,17.589469547942116,17.11149482205603,17.235769271850586,542400
2020-12-17,17.092374502911117,17.990967451187316,16.75779367092473,17.92405128479004,670900
2020-12-18,17.9814093751215,18.14392086116264,16.748235482609648,17.360042572021484,1919800
2020-12-21,17.04457881446518,17.388721203845368,16.614400827739946,17.216650009155273,674300
2020-12-22,17.264445197560313,17.264445197560313,16.346734672992397,16.375411987304688,768000
2020-12-23,16.451889506572467,16.68131898394473,15.792285684946187,16.01215362548828,798700
2020-12-24,16.021713092822505,16.30849720013814,15.811404869012966,16.04083251953125,356600
2020-12-28,16.2320222723157,16.38497404833315,15.486382820062898,15.648894309997559,1187400
2020-12-29,15.677571278425994,16.25114133735124,15.658451851018397,16.174665451049805,474900
2020-12-30,16.32761758663018,17.493875334486265,16.260701412544936,17.321805953979492,413800
2020-12-31,17.274005346816764,18.526298548874614,17.13061330164398,18.124799728393555,541700
2021-01-04,18.287314552236882,18.402029303406042,17.19753262111088,17.98141098022461,555600
2021-01-05,17.828457901142002,19.10943038353285,17.713744981621947,18.707931518554688,528400
2021-01-06,18.784407051398293,20.00802305092964,18.784407051398293,19.931547164916992,1230900
2021-01-07,20.07493827000719,20.68674532905646,19.979342961198526,20.428640365600586,984400
2021-01-08,20.791899696515237,20.791899696515237,19.205023819567046,19.30061912536621,487900
2021-01-11,19.233705681403887,19.644762454878542,18.75573090806544,19.606525421142578,511700
2021-01-12,19.663880652208242,19.97934390992654,19.35797710815764,19.931547164916992,548000
2021-01-13,19.797714544305183,20.715427071515162,19.769037224389585,20.552915573120117,587300
2021-01-14,20.65807098126121,21.977280597735792,20.132297618925573,21.48974609375,783600
2021-01-15,21.15516128550653,21.709611913472937,19.96978414376211,20.524234771728516,669000
2021-01-19,20.79190117761354,20.8779367766286,20.055819640853105,20.141855239868164,366800
2021-01-20,20.08449968495522,20.399962954422413,19.405774575902164,19.654321670532227,408600
2021-01-21,19.835950285181205,19.874189136832392,19.291059412453414,19.30061912536621,364400
2021-01-22,19.05207307836519,19.78815460205078,18.660133944626917,19.78815460205078,299300
2021-01-25,19.654324286205977,20.54335775211018,19.60652753305534,19.96978759765625,315600
